Key Name,Friendly Name,Short Name,Legend (CP437),Xpos,Ypos,Xsize,Ysize,Usage Page,Usage ID,PS/2 Set 1 Make,PS/2 Set 1 Break,PS/2 Set 2 Make,PS/2 Set 2 Break,,
Keyboard Copy,,,,,,,,07,7C,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,7C,Keyboard Copy
Keyboard Paste,,,,,,,,07,7D,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,7D,Keyboard Paste
Keyboard Find,,,,,,,,07,7E,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,7E,Keyboard Find
Keyboard Mute,,,,,,,,07,7F,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,7F,Keyboard Mute
Keyboard Volume Up,,,,,,,,07,80,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,80,Keyboard Volume Up
Keyboard Volume Dn,,,,,,,,07,81,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,81,Keyboard Volume Down
Keyboard Locking Caps Lock,,,,,,,,07,82,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,82,Keyboard Locking Caps Lock12
Keyboard Locking Num Lock,,,,,,,,07,83,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,83,Keyboard Locking Num Lock12
Keyboard Locking Scroll Lock,,,,,,,,07,84,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,84,Keyboard Locking Scroll Lock12
Keypad comma (Brazilian Keypad .),Comma (Keypad),PADCOMMA,2C,57,11,2,2,07,85,7E,FE,6D,F0 6D,85,Keypad Comma13
Keyboard Equal Sign,,PADEQUALS,,,,,,07,86,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,86,Keypad Equal Sign14
Keyboard Int'l 1 ろ (Ro),Ro,INTL1,52 6F,27,15,2,2,07,87,73,F3,51,F0 51,87,Keyboard International1
Keyboard Intl'2 かかかかひひひかロロロ字 (Katakana/Hiragana),Katakana/Hiragana OR Forwardspace (AMSTRAD),INTL2,4B 41 54 2F 48 49 52,1,21,7,1,07,88,70,F0,13,F0 13,88,Keyboard International2
Keyboard Int'l 2 ¥ (Yen),Yen,INTL3,7C 0A FF9D,28,6,1,2,07,89,7D,FD,6A,F0 6A,89,Keyboard International3
Keyboard Int'l 4 前前前 変変(次前前) 全前前 (Henkan),Henkan,INTL4,48 45 4E 4B 41 4E,9,21,6,1,07,8A,79,F9,64,F0 64,8A,Keyboard International4
Keyboard Int'l 5 無変変 (Muhenkan),Muhenkan,INTL5,4D 55 48 45 4E 4B 41 4E,16,21,8,1,07,8B,7B,FB,67,F0 67,8B,Keyboard International5
Keyboard Int'l 6 (PC9800 Keypad comma  ),PC9800 Comma,INTL6,2C,25,21,1,1,07,8C,5C,DC,27,F0 27,8C,Keyboard International6
Keyboard Int'l 7,,,,,,,,07,8D,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,8D,Keyboard International7
Keyboard Int'l 8,,,,,,,,07,8E,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,8E,Keyboard International8
Keyboard Int'l 9,,,,,,,,07,8F,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,8F,Keyboard International9
Keyboard Lang 1 한/옝 (Hanguel/English),Hangul/Yeong,LANG1,48 41 4E 2F 59 45 4F,40,21,7,1,07,90,F2,None,F2,None,90,Keyboard LANG124
Keyboard Lang 2 한한 (Hanja),Hanja,LANG2,48 41 4E 4A 41,48,21,5,1,07,91,F1,None,F1,None,91,Keyboard LANG225
Keyboard Lang 3かかかか (Katakana),Katakana,LANG3,4B 41 54 41,27,21,4,1,07,92,78,F8,63,F0 63,92,Keyboard LANG326
Keyboard Lang 4ひひひか (Hiragana),Hiragana,LANG4,48 49 52 41,32,21,4,1,07,93,77,F7,62,F0 62,93,Keyboard LANG427
Keyboard Lang 5 半半/全半 (Zenkaku/Hankaku),Zenkaku/Hankaku/Kanji,LANG5,48 5A 4B,1,4,3,1,07,94,76,F6,5F,F0 5F,94,Keyboard LANG528
Keyboard Lang 6,,,,,,,,07,95,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,95,Keyboard LANG629
Keyboard Lang 7,,,,,,,,07,96,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,96,Keyboard LANG729
Keyboard Lang 8,,,,,,,,07,97,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,97,Keyboard LANG829
Keyboard Lang 9,,,,,,,,07,98,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,98,Keyboard LANG929
"Keyboard Alternate
Erase",,,,,,,,07,99,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,99,Keyboard Alternate Erase30
Keyboard SysReq/Attention,,,,,,,,07,9A,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9A,Keyboard SysReq/Attention7
Keyboard Cancel,,,,,,,,07,9B,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9B,Keyboard Cancel
Keyboard Clear,,,,,,,,07,9C,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9C,Keyboard Clear
Keyboard Prior,,,,,,,,07,9D,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9D,Keyboard Prior
Keyboard Return,,,,,,,,07,9E,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9E,Keyboard Return
Keyboard Separator,,,,,,,,07,9F,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9F,Keyboard Separator
Keyboard Out,,,,,,,,07,A0,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A0,Keyboard Out
Keyboard Oper,,,,,,,,07,A1,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A1,Keyboard Oper
Keyboard Clear/Again,,,,,,,,07,A2,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A2,Keyboard Clear/Again
Keyboard CrSel/Props,,,,,,,,07,A3,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A3,Keyboard CrSel/Props
Keyboard ExSel,,,,,,,,07,A4,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A4,Keyboard ExSel
Keypad 00,,,,,,,,,B0,,,,,,Keypad 00
Keypad 000,,,,,,,,,B1,,,,,,Keypad 000
Thousands Separator31,,,,,,,,,B2,,,,,,Thousands Separator31
Decimal Separator31,,,,,,,,,B3,,,,,,Decimal Separator31
Currency Unit32,,,,,,,,,B4,,,,,,Currency Unit32
Currency Sub-unit32,,,,,,,,,B5,,,,,,Currency Sub-unit32
Keypad (,,,,,,,,,B6,,,,,,Keypad (
Keypad ),,,,,,,,,B7,,,,,,Keypad )
Keypad {,,,,,,,,,B8,,,,,,Keypad {
Keypad },,,,,,,,,B9,,,,,,Keypad }
Keypad Tab,,,,,,,,,BA,,,,,,Keypad Tab
Keypad Backspace,,,,,,,,,BB,,,,,,Keypad Backspace
Keypad A,,,,,,,,,BC,,,,,,Keypad A
Keypad B,,,,,,,,,BD,,,,,,Keypad B
Keypad C,,,,,,,,,BE,,,,,,Keypad C
Keypad D,,,,,,,,,BF,,,,,,Keypad D
Keypad E,,,,,,,,,C0,,,,,,Keypad E
Keypad F,,,,,,,,,C1,,,,,,Keypad F
Keypad XOR,,,,,,,,,C2,,,,,,Keypad XOR
Keypad ∧,,,,,,,,,C3,,,,,,Keypad ∧
Keypad %,,,,,,,,,C4,,,,,,Keypad %
Keypad <,,,,,,,,,C5,,,,,,Keypad <
Keypad >,,,,,,,,,C6,,,,,,Keypad >
Keypad &,,,,,,,,,C7,,,,,,Keypad &
Keypad &&,,,,,,,,,C8,,,,,,Keypad &&
Keypad |,,,,,,,,,C9,,,,,,Keypad |
Keypad ||,,,,,,,,,CA,,,,,,Keypad ||
Keypad :,,,,,,,,,CB,,,,,,Keypad :
Keypad #,,,,,,,,,CC,,,,,,Keypad #
Keypad Space,,,,,,,,,CD,,,,,,Keypad Space
Keypad @,,,,,,,,,CE,,,,,,Keypad @
Keypad !,,,,,,,,,CF,,,,,,Keypad !
Keypad Memory Store,,,,,,,,,D0,,,,,,Keypad Memory Store
Keypad Memory Recall,,,,,,,,,D1,,,,,,Keypad Memory Recall
Keypad Memory Clear,,,,,,,,,D2,,,,,,Keypad Memory Clear
Keypad Memory Add,,,,,,,,,D3,,,,,,Keypad Memory Add
Keypad Memory Subtract,,,,,,,,,D4,,,,,,Keypad Memory Subtract
Keypad Memory Multiply,,,,,,,,,D5,,,,,,Keypad Memory Multiply
Keypad Memory Divide,,,,,,,,,D6,,,,,,Keypad Memory Divide
Keypad +/-,,,,,,,,,D7,,,,,,Keypad +/-
Keypad Clear,,,,,,,,,D8,,,,,,Keypad Clear
Keypad Clear Entry,,,,,,,,,D9,,,,,,Keypad Clear Entry
Keypad Binary,,,,,,,,,DA,,,,,,Keypad Binary
Keypad Octal,,,,,,,,,DB,,,,,,Keypad Octal
Keypad Decimal,,,,,,,,,DC,,,,,,Keypad Decimal
Keypad Hexadecimal,,,,,,,,,DD,,,,,,Keypad Hexadecimal
Reserved,,,,,,,,,DE-DF,,,,,,Reserved
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Left Control,Control (Left),LCTRL,43 54 4C,1,18,3,1,07,E0,1D,9D,14,F0 14,E0,Keyboard LeftControl
Left Shift,Shift (Left),LSHIFT,53 48 49 0A 5E,1,15,3,2,07,E1,2A,AA,12,F0 12,E1,Keyboard LeftShift
Left Alt,Alt (Left),LALT,41 4C 54,9,18,3,1,07,E2,38,B8,11,F0 11,E2,Keyboard LeftAlt
